Annual Income,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Default,Id,Credit Score,Years in current job_0,Years in current job_1,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Years in current job_10,Term_Long Term,Term_Short Term,Home Ownership_2,Home Ownership_1,Purpose_1,Purpose_2,Purpose_3
1510215,0,15,26,680086,1,1,248270,312474,21143,0,728,721,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
990660,0,6,14,401544,0,0,330902,272935,11805,1,729,740,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1751097,0,15,15,1358016,0,0,763070,534812,25537,0,731,728,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
858211,0,13,29,221694,0,0,85976,22021,16950,0,733,699,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
874323,0,6,9,488290,0,0,179982,200716,7432,0,734,706,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,12,457072,0,0,289652,264480,9525,0,735,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1613062,0,25,21,456698,2,2,316426,242573,15190,1,736,659,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1869980,0,10,23,407044,0,0,142912,124450,16362,0,737,750,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,7,610500,0,0,646866,316863,31952,0,739,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
771932,0,17,20,739970,0,0,67034,432649,14731,0,741,698,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1212276,0,9,15,520652,0,0,401676,281941,28792,1,742,689,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,9,20,203984,0,0,177276,127376,15507,0,743,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,21,1210726,0,0,646800,617956,28023,1,744,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
957562,0,9,22,450626,1,1,347842,182913,18034,0,745,719,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
414447,0,6,11,174548,1,0,139612,99180,8323,1,746,733,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1112640,0,12,22,95150,0,0,53680,4769,11497,0,747,741,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
539714,0,6,31,62480,0,0,86196,43377,4151,1,748,728,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,16,12,390896,0,0,194436,193781,16543,0,749,729,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
812041,0,7,16,268862,0,0,335808,89642,2396,0,750,693,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
675716,0,14,41,188342,0,0,315744,150784,9285,1,751,648,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,5,9,219252,0,0,265826,172311,7477,1,752,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1225006,0,12,15,802582,0,0,521532,464398,26746,1,753,705,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2325828,0,12,17,403502,3,3,336644,88521,12269,1,754,735,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1128258,0,8,10,341924,0,0,119746,285570,29429,1,755,732,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1224455,0,9,22,1012286,0,0,278168,450243,18367,1,756,746,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,11,526350,1,1,331320,90915,4829,0,757,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,11,20,866844,0,0,551980,459667,30626,0,758,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
893855,0,9,23,716166,0,0,194062,263473,16909,0,759,736,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,14,26,938278,0,0,153252,100472,20800,0,760,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
628748,0,11,12,392348,0,0,286726,197543,19596,1,761,693,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
576954,0,9,25,999790,0,0,224356,259027,17741,0,762,738,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1516200,0,8,13,443366,0,0,219450,274170,21227,1,763,738,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1976988,0,7,18,596882,0,0,660330,406714,13608,0,764,733,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
660022,0,17,26,161590,0,0,262020,115121,8635,1,765,698,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1452246,0,18,34,533478,1,1,281578,206416,23720,0,766,716,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
874418,0,4,9,357874,0,0,224994,232427,13408,1,767,712,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
950285,0,9,12,490710,0,0,121044,137731,14809,0,768,748,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
859959,0,4,21,561748,0,0,437030,227050,6787,0,769,657,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
775276,0,7,34,181764,0,0,224422,124013,20609,1,771,739,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,16,694562,0,0,492118,448077,16048,1,772,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
610679,0,16,20,294030,0,0,145838,115292,9160,1,773,738,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1606279,0,9,16,477158,0,0,262570,257963,25031,0,775,742,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
868509,0,19,31,857912,0,0,134090,253384,24246,0,776,726,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
561165,0,9,20,237094,1,1,108306,126749,4620,0,777,725,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
653695,0,6,17,157608,1,1,108130,29260,1193,0,778,745,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
867749,0,2,16,0,0,0,75350,0,0,0,780,704,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1783663,0,10,17,762168,0,0,296318,215232,28241,1,783,684,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1821283,0,14,18,1378080,0,0,669834,403465,20489,1,784,712,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1266179,0,12,17,1067044,0,0,547096,510530,24817,0,785,709,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,4,24,804386,0,0,392942,86146,1243,0,786,729,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,11,8,532158,0,0,181742,179246,11273,0,787,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,12,12,343464,0,0,219098,106495,11910,1,788,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1298973,0,10,17,199210,1,1,221188,116470,20242,0,789,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
960260,0,8,16,255838,1,1,175670,140087,9603,0,790,716,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,13,14,1219570,0,0,128414,412870,8685,0,792,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,12,45,319968,0,0,152394,81244,19426,1,793,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1228464,0,9,14,553674,0,0,545446,299820,34294,0,794,737,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1011731,0,9,11,574552,0,0,517396,383553,24788,0,795,675,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1615608,0,11,18,1071378,0,0,464904,469129,25177,0,796,700,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
1080948,0,13,15,930314,0,0,153714,487692,20466,0,797,707,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
1163256,0,13,9,1183842,0,0,341726,223896,25082,1,799,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1376474,0,5,10,327822,0,0,199232,219127,4783,0,801,738,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1181895,0,14,39,372152,1,1,220726,186409,21077,0,802,738,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,6,10,60808,1,0,91146,21793,8997,0,803,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,11,10,479204,0,0,311564,390260,15708,1,804,729,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
1163256,0,7,15,580822,0,0,167684,147972,10676,0,805,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1130310,0,12,22,547514,1,1,463518,326268,15937,0,806,698,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1505864,0,6,20,146124,0,0,348722,101080,10641,0,807,691,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
582065,0,11,11,868230,0,0,302434,449901,9701,0,808,706,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,12,20,887150,0,0,434632,359328,24962,0,809,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
478363,0,5,11,260744,0,0,133694,146148,8810,0,810,744,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1458877,0,12,21,264462,1,1,216568,87476,10236,0,811,719,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1047242,0,7,9,415228,0,0,247016,242421,12741,0,813,748,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,13,11,318384,1,0,129712,110808,13257,0,815,729,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2813140,0,20,17,1264340,0,0,561616,310099,32820,0,816,748,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,6,14,280016,1,1,109406,98914,2777,0,817,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
866115,0,16,14,561726,0,0,353232,326496,20642,1,818,695,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1968153,0,6,24,930644,0,0,442508,338371,16893,0,819,742,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1227476,0,12,14,696872,0,0,508926,523602,22299,1,820,718,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1268155,0,14,37,800008,0,0,438328,411084,16909,0,821,743,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1423575,1,7,32,345268,1,0,672408,175636,7011,1,822,703,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1163256,0,16,34,852258,1,1,265848,305463,9417,0,823,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1096680,0,14,25,1348446,0,0,449504,347035,26229,0,824,745,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
1546239,0,11,15,590832,0,0,200574,417411,11378,0,825,665,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1134300,0,13,12,429110,0,0,328350,311676,24482,1,826,726,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,13,23,214698,0,0,546876,141094,24643,1,827,729,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,10,11,1037938,0,0,417450,493924,25055,0,829,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1445520,0,11,15,975128,0,0,446336,397499,16623,0,831,732,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1410180,0,11,16,594506,0,0,544280,414865,23973,0,832,631,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
734844,0,7,11,188100,0,0,286616,151392,13827,1,833,738,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1728715,0,15,17,1145694,0,0,215930,300808,7722,0,835,743,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1311380,0,7,27,550902,0,0,364430,452485,36719,0,838,717,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
923951,0,10,13,557348,0,0,334334,234897,12396,1,839,734,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
932615,0,21,9,367356,0,0,259160,273790,20051,1,840,730,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1122387,0,9,22,425744,0,0,336116,277970,7913,0,841,718,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
969095,0,25,11,628694,0,0,224422,38000,21724,0,843,719,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
845861,0,7,28,335390,1,1,255992,21717,1924,0,844,738,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,8,24,251130,2,2,266288,31445,12443,0,845,729,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1549944,0,12,16,785158,0,0,201718,563502,26220,0,846,722,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1006506,0,12,11,464024,0,0,431640,310175,28685,1,847,708,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,14,15,181214,1,1,78826,88426,7164,0,849,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1194131,0,14,25,541684,0,0,267608,373787,19504,0,850,732,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,9,10,786302,0,0,156552,133779,23942,0,851,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1252784,0,12,22,559438,0,0,290114,192774,24221,0,852,745,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,12,9,821458,0,0,240306,343368,23719,0,853,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1001281,0,6,31,682110,0,0,128810,484253,13267,1,854,722,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1854419,0,16,17,917774,0,0,774774,199747,29053,1,857,743,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
929955,0,6,9,256410,0,0,429638,175826,8370,0,858,710,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1936290,0,14,24,777524,0,0,627770,402895,38080,0,859,708,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
701803,0,9,22,355718,1,1,219626,191710,15674,0,861,743,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1791472,0,6,9,181192,0,0,148478,97793,7674,1,862,704,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1160862,0,8,12,571098,0,0,537658,407892,15575,0,863,739,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1260840,0,8,11,254210,0,0,271568,148846,10475,0,864,743,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,7,17,312818,0,0,368016,195871,13860,0,866,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1312577,0,11,11,730730,0,0,587004,321214,21986,0,867,723,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1343300,0,19,32,811646,0,0,177760,188556,18918,1,868,693,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,6,10,400180,0,0,602316,284791,26567,0,869,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
307743,0,4,13,276034,0,0,140162,163058,5693,0,870,718,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
524761,0,8,18,546766,0,0,218636,339530,8090,1,871,690,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
831307,0,12,20,684090,0,0,428120,241642,13855,0,874,743,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,14,12,745954,0,0,351186,417449,31373,0,875,729,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,6,16,358204,0,0,315458,198911,9029,0,876,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1004644,0,9,28,335016,0,0,324104,252016,23860,0,877,742,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
773262,0,19,16,1116808,0,0,106128,117667,14821,0,878,750,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1690335,0,20,46,1128468,1,1,479512,534071,15776,0,881,720,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
973180,0,8,18,223322,1,1,247896,163951,6350,0,882,738,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
2060816,0,11,12,421784,0,0,419804,246981,17860,0,884,742,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1631644,1,16,23,633072,2,1,333410,246582,22435,0,886,738,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1250694,0,14,33,903188,0,0,334202,140410,7254,0,887,742,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1588191,0,7,18,311454,0,0,259622,158156,21043,1,888,723,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
778696,0,4,14,205018,0,0,135256,97204,13368,1,889,747,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
855000,0,19,10,312312,0,0,308000,127851,24011,1,893,723,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
948765,0,7,13,123090,0,0,237292,64638,18896,0,894,692,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1551160,0,16,21,399696,0,0,471482,314811,22621,0,895,696,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
875140,0,5,21,138270,0,0,321068,15523,14731,0,896,749,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2150990,0,13,17,413204,0,0,177892,136325,27066,1,899,744,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,7,22,161172,0,0,91520,124716,9331,1,900,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1529956,0,14,19,850674,0,0,432080,543666,21929,0,902,740,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1068408,0,7,11,615714,0,0,224928,186124,3553,0,903,745,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1133388,0,15,24,609928,0,0,218724,240730,19173,1,905,680,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1206101,0,14,36,582582,0,0,352902,287793,22614,1,906,632,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1448807,0,14,16,382712,0,0,217866,218804,21491,1,907,699,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1012054,0,17,19,460218,1,1,151910,86241,21084,1,908,722,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1163256,0,7,9,146256,0,0,214962,27664,15718,0,909,729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1013479,0,13,24,848584,0,0,420508,260167,24661,0,910,611,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
1114350,0,9,8,705408,0,0,572044,568385,24794,1,911,676,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2304396,0,11,20,1286186,0,0,444708,299915,28805,1,912,740,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
748847,0,11,18,496584,0,0,231044,171114,12855,0,913,727,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
660212,0,10,28,705694,0,0,91190,25593,4941,0,914,748,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,13,266442,1,1,66044,96653,3971,0,915,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1626476,0,20,21,691878,0,0,155100,308313,33478,0,916,744,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2116714,0,6,24,146652,0,0,328262,87647,2187,0,917,743,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1144560,0,29,16,852918,0,0,552200,449331,31571,1,918,727,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,8,31,662596,0,0,368346,330752,14574,0,919,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
957087,0,17,12,590546,0,0,347666,179018,18663,1,920,725,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
943578,0,14,26,926486,0,0,490534,169632,7816,0,923,743,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
867445,0,16,11,991584,0,0,404272,292885,12650,1,926,745,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1316700,0,13,11,332948,0,0,261360,158156,13825,0,928,706,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
581229,0,17,10,581042,0,0,224334,386403,13126,1,929,717,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
825341,0,9,16,466180,1,1,202246,151791,13962,0,930,713,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
865868,0,17,8,227084,0,0,155958,123956,13565,0,932,728,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2632127,0,11,29,471064,0,0,345840,373046,12810,1,935,726,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2293908,0,11,18,1432684,0,0,265606,629793,19059,0,936,714,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1778400,0,10,33,231704,0,0,160886,167485,28603,0,937,746,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
883918,0,3,15,215380,0,0,107756,37753,2792,1,939,704,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
677331,0,10,11,277090,0,0,202796,190000,8918,0,941,731,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
2343726,0,9,15,552926,0,0,778558,10032,1269,0,942,722,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
837615,0,13,18,186560,0,0,87780,148067,6841,0,944,722,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2519894,0,5,10,410278,0,0,448888,37924,6489,1,945,649,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
875406,0,9,11,726440,0,0,446424,365769,21010,0,947,732,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1163256,0,20,9,441716,0,0,334730,263606,25679,0,949,729,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,16,25,901384,0,0,306394,276355,35865,0,950,729,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,10,19,829070,0,0,112552,163970,20027,0,952,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1002706,1,8,13,92422,2,1,175230,24263,14874,0,955,730,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,18,15,660440,0,0,346236,399836,23890,1,957,729,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
1390154,0,2,15,51700,0,0,178860,1425,6117,0,958,731,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
873050,0,7,17,213356,0,0,112332,175978,15787,0,959,699,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1760559,0,8,23,365046,0,0,151470,87324,12881,0,960,744,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1222897,0,9,12,396748,0,0,217844,182970,28636,0,961,738,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1128885,0,12,11,591096,0,0,222112,233301,17121,0,962,749,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1163256,0,5,11,428516,0,0,146168,126578,7031,0,963,729,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
809571,0,4,14,247126,0,0,100430,32661,5606,0,964,728,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
421762,0,4,11,90970,0,0,110990,41724,3655,0,965,697,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,30,19,647900,0,0,310618,507509,36579,1,967,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2038092,0,12,15,322190,1,1,529320,107958,17324,0,968,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1282956,0,8,17,607508,0,0,436920,340518,11440,1,969,713,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
2396375,0,9,10,335280,1,1,621544,139859,33350,1,970,713,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1252917,0,10,16,269654,0,0,214258,71022,19525,0,972,738,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1163256,0,11,11,518320,0,0,269588,163837,18551,0,975,729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1566949,0,7,18,928972,0,0,259204,470953,21676,0,976,750,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
557631,0,12,16,398046,0,0,216304,141284,9201,0,977,710,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
579348,0,7,40,389598,0,0,227216,287337,8642,0,978,710,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1020547,0,7,10,108020,0,0,180070,82289,6506,0,979,705,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
391020,0,2,21,230670,0,0,85162,79496,4595,1,980,727,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1165992,0,9,23,623524,0,0,647482,438881,26040,0,981,716,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1163256,0,11,17,204930,0,0,107844,115558,15960,0,983,729,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1168975,0,14,18,397386,0,0,271260,207632,21723,1,984,625,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
848084,0,6,15,629772,0,0,349140,295336,7053,1,985,729,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
1163256,0,8,16,286308,0,0,433708,159486,23176,0,986,729,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
1475293,0,20,25,556336,0,0,443696,230622,25941,1,987,725,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
1055659,0,10,16,1029226,0,0,222244,617766,15307,1,988,741,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
785688,0,7,19,191378,0,0,155584,37677,12112,0,989,722,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
1163256,0,19,44,891990,0,0,661826,486096,31948,1,990,729,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
